estate,item,family,text,n_countries,mae_pp,abstained,median_noise_dist
wvs_extended,Q227,other,PENDING_FETCH (WVS-7 official codebook),62,17.78,0,5.23
wvs_extended,Q228,other,PENDING_FETCH (WVS-7 official codebook),62,10.31,0,2.83
wvs_extended,Q229,other,PENDING_FETCH (WVS-7 official codebook),62,12.02,0,3.66
wvs_extended,Q230,other,PENDING_FETCH (WVS-7 official codebook),62,17.96,0,6.22
wvs_extended,Q231,other,PENDING_FETCH (WVS-7 official codebook),62,12.29,0,3.8
wvs_extended,Q232,other,PENDING_FETCH (WVS-7 official codebook),62,9.04,0,3.34
wvs_extended,Q233,other,PENDING_FETCH (WVS-7 official codebook),62,10.55,0,4.12
wvs_extended,Q234,other,PENDING_FETCH (WVS-7 official codebook),62,7.02,0,3.06
wvs_extended,Q241,other,PENDING_FETCH (WVS-7 official codebook),63,11.42,0,3.1
wvs_extended,Q242,other,PENDING_FETCH (WVS-7 official codebook),63,10.11,0,3.24
wvs_extended,Q243,other,PENDING_FETCH (WVS-7 official codebook),63,8.9,0,3.36
wvs_extended,Q244,other,PENDING_FETCH (WVS-7 official codebook),63,11.29,0,4.44
wvs_extended,Q245,other,PENDING_FETCH (WVS-7 official codebook),61,11.62,0,4.13
wvs_extended,Q246,other,PENDING_FETCH (WVS-7 official codebook),63,9.73,0,3.35
wvs_extended,Q247,other,PENDING_FETCH (WVS-7 official codebook),63,11.19,0,3.28
wvs_extended,Q248,other,PENDING_FETCH (WVS-7 official codebook),63,14.72,0,5.21
wvs_extended,Q249,other,PENDING_FETCH (WVS-7 official codebook),63,8.75,0,3.17
wvs_extended,Q251,other,PENDING_FETCH (WVS-7 official codebook),63,15.53,0,4.5
wvs_extended,Q252,other,PENDING_FETCH (WVS-7 official codebook),62,16.32,0,4.46
wvs_extended,Q253,other,PENDING_FETCH (WVS-7 official codebook),63,16.37,0,5.91
wvs_extended,Q255,other,PENDING_FETCH (WVS-7 official codebook),62,4.41,0,2.5
wvs_extended,Q256,other,PENDING_FETCH (WVS-7 official codebook),61,7.44,0,2.99
wvs_extended,Q257,other,PENDING_FETCH (WVS-7 official codebook),63,8.01,0,3.32
wvs_extended,Q258,other,PENDING_FETCH (WVS-7 official codebook),63,15.44,0,5.84
wvs_extended,Q259,other,PENDING_FETCH (WVS-7 official codebook),63,12.93,0,3.82
wvs_extended,Q33,other,PENDING_FETCH (WVS-7 official codebook),63,15.59,0,5.83
wvs_extended,Q34,other,PENDING_FETCH (WVS-7 official codebook),63,10.2,0,4.13
wvs_extended,Q38,other,PENDING_FETCH (WVS-7 official codebook),63,11.25,0,4.99
wvs_extended,Q39,other,PENDING_FETCH (WVS-7 official codebook),63,9.24,0,2.88
wvs_extended,Q40,other,PENDING_FETCH (WVS-7 official codebook),63,11.19,0,4.14
wvs_extended,Q41,other,PENDING_FETCH (WVS-7 official codebook),63,11.91,0,4.17
wvs_extended,Q42,other,PENDING_FETCH (WVS-7 official codebook),63,8.9,0,3.54
wvs_extended,Q43,other,PENDING_FETCH (WVS-7 official codebook),63,16.4,0,4.63
wvs_extended,Q44,other,PENDING_FETCH (WVS-7 official codebook),63,4.44,0,2.59
wvs_extended,Q45,other,PENDING_FETCH (WVS-7 official codebook),63,9.96,0,4.09
wvs_extended,Q56,other,PENDING_FETCH (WVS-7 official codebook),63,10.68,0,3.12
wvs_extended,Q82,other,PENDING_FETCH (WVS-7 official codebook),59,15.18,0,4.22
wvs_extended,Q89,other,PENDING_FETCH (WVS-7 official codebook),61,13.81,0,3.41
wvs_extended,Q90,other,PENDING_FETCH (WVS-7 official codebook),62,11.2,0,3.85
wvs_extended,Q91,other,PENDING_FETCH (WVS-7 official codebook),62,12.35,0,3.32
wvs_extended,Q92,other,PENDING_FETCH (WVS-7 official codebook),62,9.56,0,2.67
wvs_extended,Q93,other,PENDING_FETCH (WVS-7 official codebook),59,6.22,0,2.28
wvs_extended,Q94,other,PENDING_FETCH (WVS-7 official codebook),63,9.59,0,3.99
wvs_extended,Q95,other,PENDING_FETCH (WVS-7 official codebook),63,6.58,0,2.73
wvs_extended,Q96,other,PENDING_FETCH (WVS-7 official codebook),63,5.75,0,3.04
wvs_extended,Q97,other,PENDING_FETCH (WVS-7 official codebook),63,5.73,0,2.81
wvs_extended,Q98,other,PENDING_FETCH (WVS-7 official codebook),63,6.86,0,4.19
wvs_extended,Q99,other,PENDING_FETCH (WVS-7 official codebook),63,5.36,0,2.8
goqa_dev,005781341e57,religion/values,"Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...Women sho",15,21.47,0,
goqa_dev,0063b02139b3,democracy/governance,"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, ",36,11.26,0,
goqa_dev,0241b6173679,religion/values,"How likely do you think it is that women in our country will eventually have the same rights as men – very likely, somewhat likely, not too ",32,10.74,0,
goqa_dev,0377f197090b,democracy/governance,"Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...t",12,25.94,1,
goqa_dev,03c55eef9379,other,"Do you think a way can be found for Israel and an independent Palestinian state to coexist peacefully with each other, or not?",12,11.53,0,
goqa_dev,043e1926cdf1,democracy/governance,"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some conf",16,5.72,1,
goqa_dev,04c587f0ad67,security,"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 me",30,1.38,0,
goqa_dev,06253d89e9a5,tech/climate,"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a ve",8,5.87,0,
goqa_dev,064e6cff15e9,democracy/governance,For each one please tell me if you think the your nationality government should make decisions about this issue for ...  b. migration of EU ,9,6.13,1,
goqa_dev,067fcb13cf3b,other,Do you think this change in the availability of food in stores is largely because of the way the world has become more connected or mostly f,27,12.0,0,
goqa_dev,0684487f8e2d,economy,"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, ",14,7.88,0,
goqa_dev,078775197ed7,other,Some say that most people who don't succeed in life fail because of society's failures. Others say that most people who don't succeed do so ,28,17.87,0,
goqa_dev,0885d6856c71,tech/climate,"On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?",35,7.0,0,
goqa_dev,0956372b00d5,economy,your country is negotiating a free-trade agreement with [U.S.: countries in the Asian-Pacific region / All others: the United States and oth,9,9.8,1,
goqa_dev,09f65775b679,democracy/governance,"Here is a list of statements. For each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagre",27,10.7,0,
goqa_dev,0a93671f06f3,tech/climate,"How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructur",25,9.25,0,
goqa_dev,0af180af5029,other,"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 me",30,7.1,0,
goqa_dev,0afa31a7611f,other,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...French President Jac",8,14.61,1,
goqa_dev,0b0dbbadbdf3,other,"In your opinion, compared with a few years ago, is the U.S. doing more to help address major global problems, doing less, or about the same?",25,11.67,0,
goqa_dev,0b40b1cff24b,democracy/governance,Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying th,35,16.84,0,
goqa_dev,0bac2929be29,other,"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat ",35,15.59,1,
goqa_dev,0bb31d524a3b,other,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the situation in Afghanistan.,23,18.21,1,
goqa_dev,0bcd9f6b4213,democracy/governance,"All in all, do you think it is a good idea or a bad idea for the government to more strictly regulate the way large financial companies, suc",8,13.47,0,
goqa_dev,0c26d13c1b63,democracy/governance,"How much of a danger is the current government in...Syria to stability in the Middle East and world peace? A great danger, moderate danger, ",15,12.79,0,
goqa_dev,0c61e8764b8b,democracy/governance,"For each of the following issues, how likely are you personally to take political action on it, such as contact an elected official or parti",13,10.21,0,
goqa_dev,0d23fca9b3e1,tech/climate,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.,38,16.56,1,
goqa_dev,0d9bef474a93,intl-relations,"Which statement comes closer to your own views, even if neither is exactly right?...The U.S. accepts that China will eventually be as powerf",15,15.29,0,
goqa_dev,0da57561b65d,democracy/governance,"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some conf",37,10.79,0,
goqa_dev,0dd3d5390ee3,other,"How concerned, if at all, are you about extremism in the name of Islam in our country these days? Are you very concerned, somewhat concerned",12,7.25,0,
goqa_dev,0e8ee6977aff,intl-relations,"In general, how would you describe relations today between the United States and your country? Would you say they are very good, somewhat go",30,16.09,0,
goqa_dev,0eb49eb22f47,intl-relations,"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all c",35,13.04,0,
goqa_dev,0fc53e3927f9,other,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...[Pakistani President",8,13.16,1,
goqa_dev,0fd554375593,democracy/governance,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing rega",36,12.21,1,
goqa_dev,10b98935f5c1,other,"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a cha",27,15.6,0,
goqa_dev,1268ca553ff1,other,Some people say that the following things are important for being truly your nationality. Others say they are not important. How important d,12,2.68,0,
goqa_dev,146e5f30314d,intl-relations,Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Generous...Do you a,10,14.36,0,
goqa_dev,15456e304b79,other,"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me w",16,16.61,0,
goqa_dev,15edfe605243,security,"Which comes closer to describing your view?...I favor the US-led efforts to fight terrorism, OR I oppose the US-led efforts to fight terrori",44,22.23,0,
goqa_dev,169338bd50fd,democracy/governance,Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? a. China,52,11.37,0,
goqa_dev,16efb6420f0b,democracy/governance,"According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many ",40,9.4,0,
goqa_dev,17047e531aab,economy,Does Statement #1 or Statement #2 comes closer to your own views: a. refugees make our country stronger because of their work and talents OR,10,16.79,0,
goqa_dev,17890ef36391,democracy/governance,"Does our government cooperate too much, not enough, or about the right amount with the United States government?",19,11.56,0,
goqa_dev,18566aa09ad7,economy,Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic devel,14,4.27,1,
goqa_dev,197c907cd9bf,democracy/governance,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing rega",18,22.65,1,
goqa_dev,1b8c869b6c09,security,"If Iran were to develop nuclear weapons, do you think they would be likely to...provide nuclear weapons to terrorist organizations, or not?",12,10.84,0,
goqa_dev,1bc2e9ad588f,intl-relations,"And what about the following countries or organizations, how would you rate the kind of influence they are having on the way things are goin",13,10.38,1,
goqa_dev,1be9b7737eef,democracy/governance,"In general, would you say the government is run for the benefit of all the people in your country or is it run for the benefit of only a few",11,10.18,0,
goqa_dev,1d40db4c498f,intl-relations,"Now that Donald Trump is the president of the United States, over the next few years do you think that relations between your country and th",35,13.06,1,
goqa_dev,1df60d6a947f,democracy/governance,"(For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some con",35,13.66,0,
goqa_dev,1fab3598b49d,other,Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. a. Imm,17,14.23,0,
goqa_dev,1fe61da9dc89,other,"Starting in late 1989, we changed from a country where there was just one party to a country with a multiparty system. Overall, do you stron",9,13.47,0,
goqa_dev,21855a4939ef,other,Which of these statements comes closer to your view? your country should deal with its own problems and let other countries deal with their ,16,30.71,0,
goqa_dev,21b2f08e9327,other,"Thinking about yourself, how confident are you that you will have an adequate standard of living in your old age - very confident, somewhat ",20,15.63,0,
goqa_dev,22b3669af143,religion/values,"What is more to blame for this controversy (about the publication of cartoons with the image of the prophet Muhammad), Western nations' disr",10,7.73,0,
goqa_dev,24c088f30341,economy,"Now thinking about our country, overall do you think that China's growing economy is a good thing or a bad thing for our country?",16,0.1,0,
goqa_dev,251c52452e15,democracy/governance,"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way thi",47,16.64,0,
goqa_dev,25877cf5b2b3,other,Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries ,20,18.04,1,
goqa_dev,25a8e59d1775,economy,And how good a job is French President Nicolas Sarkozy doing in dealing with the European economic crisis? Is French President Nicolas Sarko,8,16.07,1,
goqa_dev,2687a4afd837,democracy/governance,"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing rega",37,7.93,0,
goqa_dev,26bdfd67b377,intl-relations,"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way thi",38,11.44,0,
goqa_dev,28cedfbecdab,democracy/governance,"Who should bear the greatest responsibility for people's economic wellbeing in their old age - their families, the government or themselves?",20,12.33,0,
goqa_dev,28d0b427cde7,intl-relations,Overall do you think it would be a good thing or a bad thing if China were to become as powerful militarily as the US?,21,11.27,0,
goqa_dev,293c201abff9,democracy/governance,I am going to read you a list of things that the government might do to improve public health and health care in our country.  As I read eac,26,4.54,0,
