estate,item,family,country,region,human,model,signed_err_pp,modal_agree,n_survey,se95_pp,within_noise,noise_dist,abstained,mrsp_mae_pp,naive_mae_pp,region_mae_pp
wvs_heldout,Q11,other,KE,Sub-Saharan Africa,0.139,0.146,0.7,1,1266,1.91,1,0.37,0,8.09,8.77,8.31
wvs_heldout,Q11,other,KG,Central Asia,0.1143,0.1823,6.8,1,1200,1.8,0,3.78,0,8.09,8.77,8.31
wvs_heldout,Q11,other,KR,East Asia,0.5237,0.3307,-19.3,0,1245,2.77,0,6.96,0,8.09,8.77,8.31
wvs_heldout,Q11,other,KZ,Central Asia,0.1466,0.1296,-1.7,1,1276,1.94,1,0.88,0,8.09,8.77,8.31
wvs_heldout,Q11,other,LB,Middle East/N. Africa,0.2433,0.1893,-5.4,1,1200,2.43,0,2.22,0,8.09,8.77,8.31
wvs_heldout,Q11,other,LY,Middle East/N. Africa,0.0819,0.1669,8.5,1,1196,1.55,0,5.47,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MA,Middle East/N. Africa,0.1625,0.1795,1.7,1,1200,2.09,1,0.81,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MM,Southeast Asia,0.4142,0.0872,-32.7,1,1200,2.79,0,11.73,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MN,East Asia,0.3181,0.1831,-13.5,1,1638,2.26,0,5.99,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MV,South Asia,0.0946,0.1436,4.9,1,1039,1.78,0,2.75,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MX,Latin America,0.1934,0.1814,-1.2,1,1740,1.86,1,0.65,0,8.09,8.77,8.31
wvs_heldout,Q11,other,MY,Southeast Asia,0.0929,0.1449,5.2,1,1313,1.57,0,3.31,0,8.09,8.77,8.31
wvs_heldout,Q11,other,NG,Sub-Saharan Africa,0.1404,0.1074,-3.3,1,1237,1.94,0,1.7,0,8.09,8.77,8.31
wvs_heldout,Q11,other,NI,Latin America,0.1099,0.2119,10.2,1,1200,1.77,0,5.76,0,8.09,8.77,8.31
wvs_heldout,Q11,other,NL,Western Europe,0.2536,0.2966,4.3,1,2070,1.87,0,2.29,0,8.09,8.77,8.31
wvs_heldout,Q11,other,NZ,Oceania,0.4012,0.2122,-18.9,1,1056,2.96,0,6.39,0,8.09,8.77,8.31
wvs_heldout,Q11,other,PE,Latin America,0.112,0.206,9.4,1,1400,1.65,0,5.69,0,8.09,8.77,8.31
wvs_heldout,Q11,other,PH,Southeast Asia,0.1032,0.1052,0.2,1,1200,1.72,1,0.12,0,8.09,8.77,8.31
wvs_heldout,Q11,other,PK,South Asia,0.1385,0.1315,-0.7,1,1995,1.52,1,0.46,0,8.09,8.77,8.31
wvs_heldout,Q11,other,PR,Latin America,0.2,0.262,6.2,1,1127,2.34,0,2.65,0,8.09,8.77,8.31
wvs_heldout,Q11,other,RO,Eastern Europe,0.2695,0.1655,-10.4,1,1257,2.45,0,4.24,0,8.09,8.77,8.31
wvs_heldout,Q11,other,RS,Eastern Europe,0.2573,0.2223,-3.5,1,1033,2.67,0,1.31,0,8.09,8.77,8.31
wvs_heldout,Q11,other,RU,Eastern Europe,0.1639,0.2049,4.1,1,1810,1.71,0,2.4,0,8.09,8.77,8.31
wvs_heldout,Q11,other,SG,Southeast Asia,0.1416,0.1896,4.8,1,2012,1.52,0,3.15,0,8.09,8.77,8.31
wvs_heldout,Q11,other,SK,Eastern Europe,0.1237,0.1557,3.2,1,1200,1.86,0,1.72,0,8.09,8.77,8.31
wvs_heldout,Q11,other,TH,Southeast Asia,0.2363,0.1653,-7.1,1,1500,2.15,0,3.3,0,8.09,8.77,8.31
wvs_heldout,Q11,other,TJ,Central Asia,0.3333,0.2103,-12.3,1,1200,2.67,0,4.61,0,8.09,8.77,8.31
wvs_heldout,Q11,other,TN,Middle East/N. Africa,0.4592,0.2232,-23.6,1,1179,2.84,0,8.3,0,8.09,8.77,8.31
wvs_heldout,Q11,other,TR,Middle East/N. Africa,0.1918,0.1888,-0.3,1,2170,1.66,1,0.18,0,8.09,8.77,8.31
wvs_heldout,Q11,other,UA,Eastern Europe,0.1205,0.2825,16.2,1,1289,1.78,0,9.12,0,8.09,8.77,8.31
wvs_heldout,Q11,other,US,North America,0.3063,0.3363,3.0,1,2592,1.77,0,1.69,0,8.09,8.77,8.31
wvs_heldout,Q11,other,UY,Latin America,0.2346,0.1596,-7.5,1,1000,2.63,0,2.86,0,8.09,8.77,8.31
wvs_heldout,Q11,other,UZ,Central Asia,0.2674,0.2764,0.9,1,1250,2.45,1,0.37,0,8.09,8.77,8.31
wvs_heldout,Q11,other,VE,Latin America,0.1689,0.2089,4.0,1,1190,2.13,0,1.88,0,8.09,8.77,8.31
wvs_heldout,Q11,other,VN,Southeast Asia,0.2617,0.2667,0.5,1,1200,2.49,1,0.2,0,8.09,8.77,8.31
wvs_heldout,Q11,other,ZW,Sub-Saharan Africa,0.0504,0.1844,13.4,1,1215,1.23,0,10.89,0,8.09,8.77,8.31
wvs_heldout,Q113,democracy/governance,AD,Western Europe,0.7294,0.5994,-13.0,1,961,2.81,0,4.63,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,AM,Central Asia,0.3669,0.3819,1.5,1,1138,2.8,1,0.54,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,AR,Latin America,0.3449,0.4279,8.3,1,920,3.07,0,2.7,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,AU,Oceania,0.7738,0.6378,-13.6,1,1775,1.95,0,6.99,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,BD,South Asia,0.4693,0.4093,-6.0,1,1157,2.88,0,2.09,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,BO,Latin America,0.3055,0.4075,10.2,1,2000,2.02,0,5.05,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,BR,Latin America,0.225,0.441,21.6,1,1715,1.98,0,10.93,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CA,North America,0.6594,0.6864,2.7,1,4018,1.47,0,1.84,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CL,Latin America,0.2552,0.4382,18.3,1,980,2.73,0,6.7,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CN,East Asia,0.8577,0.7327,-12.5,1,2991,1.25,0,9.98,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CO,Latin America,0.2289,0.2449,1.6,1,1520,2.11,1,0.76,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CY,Western Europe,0.4471,0.3871,-6.0,1,937,3.18,0,1.88,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,CZ,Eastern Europe,0.6235,0.5825,-4.1,1,1159,2.79,0,1.47,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,DE,Western Europe,0.8564,0.8214,-3.5,1,1455,1.8,0,1.94,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,EC,Latin America,0.2542,0.4142,16.0,1,1184,2.48,0,6.45,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,ET,Sub-Saharan Africa,0.5106,0.2996,-21.1,0,1179,2.85,0,7.39,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,GB,Western Europe,0.5017,0.7917,29.0,1,2529,1.95,0,14.88,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,GR,Western Europe,0.2651,0.4361,17.1,1,1162,2.54,0,6.74,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,GT,Latin America,0.279,0.191,-8.8,1,1208,2.53,0,3.48,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,HK,East Asia,0.4673,0.7823,31.5,0,2033,2.17,0,14.52,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,ID,Southeast Asia,0.2805,0.6015,32.1,0,3143,1.57,0,20.44,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,IN,South Asia,0.5616,0.7136,15.2,1,1632,2.41,0,6.31,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,IQ,Middle East/N. Africa,0.1968,0.2368,4.0,1,1174,2.27,0,1.76,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,IR,Middle East/N. Africa,0.4795,0.4465,-3.3,1,1439,2.58,0,1.28,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,JO,Middle East/N. Africa,0.1959,0.2629,6.7,1,1021,2.43,0,2.75,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,JP,East Asia,0.7543,0.5503,-20.4,1,1107,2.54,0,8.04,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,KE,Sub-Saharan Africa,0.3857,0.4407,5.5,1,1227,2.72,0,2.02,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,KG,Central Asia,0.3404,0.4814,14.1,1,1104,2.8,0,5.04,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,KR,East Asia,0.6016,0.6666,6.5,1,1245,2.72,0,2.39,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,KZ,Central Asia,0.6945,0.2475,-44.7,0,1018,2.83,0,15.8,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,LB,Middle East/N. Africa,0.1466,0.4896,34.3,1,1194,2.01,0,17.1,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,LY,Middle East/N. Africa,0.2711,0.3821,11.1,1,1098,2.63,0,4.22,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MA,Middle East/N. Africa,0.4967,0.2087,-28.8,1,1200,2.83,0,10.18,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MM,Southeast Asia,0.775,0.544,-23.1,1,1200,2.36,0,9.78,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MN,East Asia,0.4219,0.4849,6.3,1,1638,2.39,0,2.63,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MV,South Asia,0.2459,0.4149,16.9,1,1032,2.63,0,6.43,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MX,Latin America,0.2029,0.2699,6.7,1,1724,1.9,0,3.53,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,MY,Southeast Asia,0.505,0.401,-10.4,0,1313,2.7,0,3.85,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,NG,Sub-Saharan Africa,0.3544,0.3504,-0.4,1,1226,2.68,1,0.15,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,NI,Latin America,0.4521,0.3171,-13.5,1,1200,2.82,0,4.79,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,NL,Western Europe,0.7768,0.7018,-7.5,1,1747,1.95,0,3.84,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,NZ,Oceania,0.9043,0.6893,-21.5,1,870,1.95,0,11.0,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,PE,Latin America,0.0808,0.3148,23.4,1,1394,1.43,0,16.36,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,PH,Southeast Asia,0.6669,0.3669,-30.0,0,1197,2.67,0,11.24,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,PK,South Asia,0.3858,0.4388,5.3,1,1828,2.23,0,2.38,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,PR,Latin America,0.3901,0.6131,22.3,0,1117,2.86,0,7.8,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,RO,Eastern Europe,0.3113,0.3103,-0.1,1,1129,2.7,1,0.04,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,RS,Eastern Europe,0.2067,0.3957,18.9,1,955,2.57,0,7.36,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,RU,Eastern Europe,0.3625,0.5505,18.8,0,1654,2.32,0,8.11,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,SG,Southeast Asia,0.9459,0.6029,-34.3,1,1927,1.01,0,33.96,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,SK,Eastern Europe,0.5248,0.6068,8.2,1,1150,2.89,0,2.84,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,TH,Southeast Asia,0.5424,0.5094,-3.3,1,1463,2.55,0,1.29,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,TN,Middle East/N. Africa,0.2677,0.6107,34.3,0,1160,2.55,0,13.46,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,TR,Middle East/N. Africa,0.5796,0.2456,-33.4,0,2225,2.05,0,16.28,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,UA,Eastern Europe,0.2776,0.4806,20.3,1,1205,2.53,0,8.03,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,US,North America,0.625,0.723,9.8,1,2572,1.87,0,5.24,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,UY,Latin America,0.6096,0.4106,-19.9,0,920,3.15,0,6.31,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,UZ,Central Asia,0.8574,0.2714,-58.6,0,1094,2.07,0,28.28,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,VE,Latin America,0.2595,0.2595,0.0,1,1183,2.5,1,0.0,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,VN,Southeast Asia,0.8793,0.6383,-24.1,1,1102,1.92,0,12.53,0,16.33,18.75,15.72
wvs_heldout,Q113,democracy/governance,ZW,Sub-Saharan Africa,0.3813,0.6433,26.2,0,1171,2.78,0,9.42,0,16.33,18.75,15.72
wvs_heldout,Q115,democracy/governance,AD,Western Europe,0.7349,0.6459,-8.9,1,958,2.8,0,3.18,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,AM,Central Asia,0.4259,0.4289,0.3,1,1095,2.93,1,0.1,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,AR,Latin America,0.3558,0.5998,24.4,0,902,3.12,0,7.81,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,AU,Oceania,0.7886,0.7526,-3.6,1,1758,1.91,0,1.89,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,BD,South Asia,0.6339,0.4609,-17.3,0,1090,2.86,0,6.05,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,BO,Latin America,0.4199,0.3579,-6.2,1,1979,2.17,0,2.85,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,BR,Latin America,0.5104,0.4984,-1.2,0,1656,2.41,1,0.5,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CA,North America,0.7828,0.7468,-3.6,1,4018,1.27,0,2.82,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CL,Latin America,0.2725,0.4475,17.5,1,960,2.82,0,6.21,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CN,East Asia,0.6623,0.8063,14.4,1,2998,1.69,0,8.51,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CO,Latin America,0.298,0.324,2.6,1,1520,2.3,0,1.13,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CY,Western Europe,0.5486,0.5436,-0.5,1,927,3.2,1,0.16,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,CZ,Eastern Europe,0.7382,0.6822,-5.6,1,1153,2.54,0,2.21,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,DE,Western Europe,0.9287,0.8647,-6.4,1,1388,1.35,0,4.73,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,EC,Latin America,0.3796,0.4486,6.9,1,1167,2.78,0,2.48,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,ET,Sub-Saharan Africa,0.5327,0.4037,-12.9,0,1177,2.85,0,4.53,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,GB,Western Europe,0.7436,0.8446,10.1,1,2503,1.71,0,5.9,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,GR,Western Europe,0.3849,0.5189,13.4,0,1149,2.81,0,4.76,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,GT,Latin America,0.2849,0.2199,-6.5,1,1190,2.56,0,2.53,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,HK,East Asia,0.8575,0.6865,-17.1,1,2049,1.51,0,11.3,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,ID,Southeast Asia,0.5072,0.5772,7.0,1,3123,1.75,0,3.99,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,IN,South Asia,0.4868,0.7118,22.5,0,1616,2.44,0,9.23,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,IQ,Middle East/N. Africa,0.311,0.301,-1.0,1,1164,2.66,1,0.38,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,IR,Middle East/N. Africa,0.456,0.485,2.9,1,1456,2.56,0,1.13,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,JO,Middle East/N. Africa,0.3402,0.3812,4.1,1,1026,2.9,0,1.41,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,JP,East Asia,0.8134,0.6234,-19.0,1,1136,2.27,0,8.39,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,KE,Sub-Saharan Africa,0.382,0.498,11.6,1,1240,2.7,0,4.29,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,KG,Central Asia,0.3889,0.4619,7.3,1,1104,2.88,0,2.54,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,KR,East Asia,0.5422,0.6472,10.5,1,1245,2.77,0,3.79,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,KZ,Central Asia,0.6187,0.4207,-19.8,0,1049,2.94,0,6.74,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,LB,Middle East/N. Africa,0.3085,0.5525,24.4,0,1183,2.63,0,9.27,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,LY,Middle East/N. Africa,0.3489,0.4739,12.5,1,1079,2.84,0,4.4,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MA,Middle East/N. Africa,0.4558,0.3498,-10.6,1,1200,2.82,0,3.76,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MM,Southeast Asia,0.78,0.589,-19.1,1,1200,2.34,0,8.15,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MN,East Asia,0.4888,0.4508,-3.8,1,1638,2.42,0,1.57,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MV,South Asia,0.39,0.479,8.9,1,1026,2.98,0,2.98,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MX,Latin America,0.2954,0.3214,2.6,1,1710,2.16,0,1.2,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,MY,Southeast Asia,0.5034,0.4434,-6.0,0,1313,2.7,0,2.22,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,NG,Sub-Saharan Africa,0.3902,0.2982,-9.2,1,1222,2.74,0,3.36,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,NI,Latin America,0.5224,0.4304,-9.2,0,1200,2.83,0,3.26,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,NL,Western Europe,0.7831,0.7491,-3.4,1,1743,1.93,0,1.76,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,NZ,Oceania,0.9012,0.7862,-11.5,1,874,1.98,0,5.81,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,PE,Latin America,0.1109,0.3709,26.0,1,1386,1.65,0,15.73,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,PH,Southeast Asia,0.6531,0.5111,-14.2,1,1198,2.7,0,5.27,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,PK,South Asia,0.453,0.538,8.5,0,1792,2.3,0,3.69,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,PR,Latin America,0.4392,0.5872,14.8,0,1113,2.92,0,5.08,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,RO,Eastern Europe,0.4034,0.3824,-2.1,1,1098,2.9,1,0.72,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,RS,Eastern Europe,0.2101,0.4851,27.5,1,935,2.61,0,10.53,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,RU,Eastern Europe,0.3886,0.5396,15.1,0,1639,2.36,0,6.4,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,SK,Eastern Europe,0.6727,0.6457,-2.7,1,1140,2.72,1,0.99,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,TH,Southeast Asia,0.4985,0.4695,-2.9,1,1461,2.56,0,1.13,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,TN,Middle East/N. Africa,0.4312,0.6372,20.6,0,1143,2.87,0,7.17,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,TR,Middle East/N. Africa,0.6057,0.3467,-25.9,0,2195,2.04,0,12.67,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,UA,Eastern Europe,0.3569,0.4679,11.1,1,1159,2.76,0,4.02,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,US,North America,0.7337,0.7977,6.4,1,2570,1.71,0,3.74,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,UY,Latin America,0.6588,0.4288,-23.0,0,911,3.08,0,7.47,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,UZ,Central Asia,0.6797,0.3437,-33.6,0,1121,2.73,0,12.3,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,VE,Latin America,0.2787,0.3197,4.1,1,1184,2.55,0,1.61,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,VN,Southeast Asia,0.8625,0.5175,-34.5,1,1120,2.02,0,17.11,0,13.53,16.21,13.13
wvs_heldout,Q115,democracy/governance,ZW,Sub-Saharan Africa,0.4577,0.6597,20.2,0,1186,2.84,0,7.12,0,13.53,16.21,13.13
wvs_heldout,Q117,democracy/governance,AD,Western Europe,0.8262,0.5732,-25.3,1,961,2.4,0,10.56,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,AM,Central Asia,0.4449,0.5459,10.1,0,1043,3.02,0,3.35,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,AR,Latin America,0.4976,0.5846,8.7,0,896,3.27,0,2.66,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,AU,Oceania,0.6414,0.5354,-10.6,1,1775,2.23,0,4.75,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,BD,South Asia,0.7177,0.6217,-9.6,1,1059,2.71,0,3.54,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,BO,Latin America,0.7341,0.5231,-21.1,1,1877,2.0,0,10.56,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,BR,Latin America,0.7147,0.5847,-13.0,1,1591,2.22,0,5.86,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,CA,North America,0.746,0.677,-6.9,1,4018,1.35,0,5.13,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,CL,Latin America,0.3741,0.6001,22.6,0,923,3.12,0,7.24,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,CN,East Asia,0.834,0.83,-0.4,1,2967,1.34,1,0.3,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,CO,Latin America,0.5257,0.5677,4.2,1,1520,2.51,0,1.67,0,12.64,12.17,12.09
wvs_heldout,Q117,democracy/governance,CY,Western Europe,0.6628,0.5528,-11.0,1,891,3.1,0,3.54,0,12.64,12.17,12.09
