item,family,n_countries,earth1_mae_pp,mrsp_mae_pp,naive_mae_pp,region_mae_pp,best,e1_minus_region_pp,beats_region,beats_all,text
Q33,other,63,15.59,17.09,20.65,11.51,region,4.08,False,False,PENDING_FETCH (WVS-7 official codebook)
Q34,other,63,10.2,12.33,13.4,9.09,region,1.12,False,False,PENDING_FETCH (WVS-7 official codebook)
Q38,other,63,11.25,10.91,17.27,11.04,mrsp,0.21,False,False,PENDING_FETCH (WVS-7 official codebook)
Q39,other,63,9.24,10.19,11.82,8.54,region,0.7,False,False,PENDING_FETCH (WVS-7 official codebook)
Q40,other,63,11.19,9.8,13.43,10.68,mrsp,0.51,False,False,PENDING_FETCH (WVS-7 official codebook)
Q41,other,63,11.91,11.95,18.52,14.23,earth1,-2.32,True,True,PENDING_FETCH (WVS-7 official codebook)
Q42,other,63,8.9,6.94,6.76,7.3,naive,1.6,False,False,PENDING_FETCH (WVS-7 official codebook)
Q43,other,63,16.4,15.43,16.54,15.19,region,1.21,False,False,PENDING_FETCH (WVS-7 official codebook)
Q44,other,63,4.44,3.96,3.75,3.66,region,0.78,False,False,PENDING_FETCH (WVS-7 official codebook)
Q45,other,63,9.96,8.46,9.97,8.89,mrsp,1.07,False,False,PENDING_FETCH (WVS-7 official codebook)
Q56,other,63,10.68,9.63,9.61,8.32,region,2.35,False,False,PENDING_FETCH (WVS-7 official codebook)
Q82,other,59,15.18,13.19,15.49,10.14,region,5.04,False,False,PENDING_FETCH (WVS-7 official codebook)
Q89,other,61,13.81,13.34,14.22,9.43,region,4.38,False,False,PENDING_FETCH (WVS-7 official codebook)
Q90,other,62,11.2,9.89,9.64,10.76,naive,0.44,False,False,PENDING_FETCH (WVS-7 official codebook)
Q91,other,62,12.35,11.29,12.22,9.21,region,3.14,False,False,PENDING_FETCH (WVS-7 official codebook)
Q92,other,62,9.56,11.08,12.58,8.5,region,1.05,False,False,PENDING_FETCH (WVS-7 official codebook)
Q93,other,59,6.22,5.43,6.17,5.06,region,1.17,False,False,PENDING_FETCH (WVS-7 official codebook)
Q94,other,63,9.59,8.72,7.6,8.33,naive,1.26,False,False,PENDING_FETCH (WVS-7 official codebook)
Q95,other,63,6.58,6.0,5.64,5.97,naive,0.61,False,False,PENDING_FETCH (WVS-7 official codebook)
Q96,other,63,5.75,5.33,5.09,5.37,naive,0.38,False,False,PENDING_FETCH (WVS-7 official codebook)
Q97,other,63,5.73,5.1,5.02,5.53,naive,0.21,False,False,PENDING_FETCH (WVS-7 official codebook)
Q98,other,63,6.86,5.7,5.96,6.11,mrsp,0.75,False,False,PENDING_FETCH (WVS-7 official codebook)
Q99,other,63,5.36,5.08,5.06,5.44,naive,-0.08,True,False,PENDING_FETCH (WVS-7 official codebook)
