qcode,country,age_bucket,yes_weighted,n_weighted
Q65,TWN,18_29,0.65400,236.4
Q65,DEU,18_29,0.61818,220.0
Q65,GBR,30_44,0.79125,629.6
Q65,IRQ,18_29,0.71459,466.0
Q65,LBY,30_44,0.46714,426.0
Q65,MEX,18_29,0.47961,494.5
Q65,MMR,18_29,0.30982,326.0
Q65,PRI,30_44,0.59109,247.0
Q65,SRB,45_59,0.59438,249.0
Q65,BOL,30_44,0.24673,612.0
Q65,COL,18_29,0.38640,559.0
Q65,TWN,60_plus,0.76063,277.6
Q65,USA,45_59,0.86544,699.3
Q65,DEU,60_plus,0.56897,464.0
Q65,ECU,45_59,0.54132,242.0
Q65,KAZ,30_44,0.85045,448.0
Q65,KEN,18_29,0.57061,701.0
Q65,MEX,60_plus,0.54031,291.8
Q65,NZL,60_plus,0.87627,493.0
Q65,TWN,45_59,0.62533,336.2
Q65,USA,60_plus,0.89134,706.1
Q65,DEU,45_59,0.55149,437.0
Q65,ECU,60_plus,0.59302,172.0
Q65,ETH,30_44,0.76726,391.0
Q65,IRQ,45_59,0.69915,236.0
Q65,MEX,45_59,0.50761,409.8
Q65,MMR,45_59,0.34943,352.0
Q65,MNG,30_44,0.47525,549.8
Q65,NZL,45_59,0.87833,263.0
Q65,PER,30_44,0.33624,436.3
Q65,SRB,18_29,0.66372,226.0
Q65,BOL,60_plus,0.35907,259.0
Q65,TWN,30_44,0.56571,350.1
Q65,DEU,30_44,0.61538,286.0
Q65,GBR,18_29,0.69104,413.3
Q65,IRQ,30_44,0.69689,386.0
Q65,LBY,18_29,0.35106,282.0
Q65,MEX,30_44,0.51325,531.3
Q65,MMR,30_44,0.30691,391.0
Q65,MNG,45_59,0.46314,350.9
Q65,NZL,30_44,0.80132,151.0
Q65,PER,45_59,0.31159,349.8
Q65,PRI,18_29,0.48039,204.0
Q65,CYP,60_plus,0.74458,274.7
Q65,TJK,60_plus,0.92810,153.0
Q65,CZE,60_plus,0.50009,342.2
Q65,ETH,18_29,0.74959,615.0
Q65,GBR,45_59,0.85117,601.1
Q65,IND,60_plus,0.86007,202.9
Q65,IRN,60_plus,0.96795,156.0
Q65,JOR,60_plus,0.98995,199.0
Q65,KOR,60_plus,0.62950,278.0
Q65,LBY,45_59,0.54922,386.0
Q65,MNG,18_29,0.48095,454.4
Q65,PER,18_29,0.38510,406.3
Q65,PRI,45_59,0.56654,263.0
Q65,RUS,60_plus,0.83682,422.5
Q65,SRB,30_44,0.53506,271.0
Q65,SVK,60_plus,0.62789,334.6
Q65,THA,60_plus,0.66524,257.3
Q65,BOL,18_29,0.25603,746.0
Q65,COL,30_44,0.37170,417.0
Q65,CYP,45_59,0.66448,224.0
Q65,TJK,45_59,0.87463,335.0
Q65,CZE,45_59,0.56170,254.4
Q65,GBR,60_plus,0.89546,768.9
Q65,IND,45_59,0.84527,317.7
Q65,IRN,45_59,0.94495,327.0
Q65,JOR,45_59,0.98028,355.0
Q65,KAZ,18_29,0.82392,301.0
Q65,KEN,30_44,0.61557,411.0
Q65,KOR,45_59,0.54791,407.0
Q65,MDV,45_59,0.75936,187.0
Q65,PRI,60_plus,0.60599,401.0
Q65,RUS,45_59,0.82062,433.2
Q65,SVK,45_59,0.59693,304.0
Q65,THA,45_59,0.61112,419.9
Q65,ARG,18_29,0.32825,250.8
Q65,ARM,45_59,0.68226,287.9
Q65,CHL,18_29,0.42283,208.0
Q65,CHN,60_plus,0.97732,467.5
Q65,TUN,18_29,0.73239,284.0
Q65,UKR,60_plus,0.78730,339.5
Q65,UZB,45_59,0.88479,217.0
Q65,GRC,45_59,0.81480,291.1
Q65,GTM,45_59,0.22388,201.0
Q65,HKG,30_44,0.49933,505.8
Q65,IDN,18_29,0.89667,872.4
Q65,JPN,45_59,0.85714,308.0
Q65,NGA,30_44,0.54960,443.5
Q65,NIC,45_59,0.26009,223.0
Q65,NLD,60_plus,0.63281,768.0
Q65,ROU,60_plus,0.82039,346.7
Q65,SGP,60_plus,0.85023,497.9
Q71,AND,30_44,0.45847,301.0
Q71,IRQ,45_59,0.20796,226.0
Q71,MEX,45_59,0.14631,412.6
Q71,MMR,45_59,0.81818,352.0
Q71,MNG,30_44,0.36849,577.3
Q71,TWN,45_59,0.49782,342.7
Q71,USA,60_plus,0.41653,708.9
Q71,DEU,45_59,0.39955,448.0
Q71,ECU,60_plus,0.29762,168.0
Q71,ETH,30_44,0.67677,396.0
Q71,NZL,45_59,0.53906,256.0
Q71,PER,30_44,0.08223,434.1
Q71,SRB,18_29,0.21182,203.0
Q71,COL,45_59,0.14731,353.0
Q71,CYP,30_44,0.34194,242.2
Q71,IRN,30_44,0.51286,583.0
Q71,JOR,30_44,0.42271,317.0
Q71,KOR,30_44,0.50641,312.0
Q71,MDV,30_44,0.32143,392.0
Q71,TJK,30_44,0.89595,346.0
Q71,USA,18_29,0.24783,543.7
Q71,CZE,30_44,0.38664,349.9
Q71,ECU,18_29,0.35459,392.0
Q71,IND,30_44,0.65728,495.3
Q71,RUS,30_44,0.47565,489.7
Q71,SRB,60_plus,0.32955,264.0
Q71,SVK,30_44,0.25000,340.5
Q71,THA,30_44,0.58601,397.6
Q71,COL,60_plus,0.19895,191.0
Q71,IRQ,18_29,0.17802,455.0
Q71,LBY,30_44,0.27251,411.0
Q71,MEX,18_29,0.16690,495.7
Q71,MMR,18_29,0.78221,326.0
Q71,TWN,18_29,0.55458,234.8
Q71,DEU,18_29,0.49789,237.0
Q71,GBR,30_44,0.22906,643.9
Q71,PRI,30_44,0.10976,246.0
Q71,SRB,45_59,0.25926,243.0
Q71,BOL,30_44,0.21429,616.0
Q71,COL,18_29,0.08229,559.0
Q71,KAZ,30_44,0.69977,443.0
Q71,KEN,18_29,0.43885,695.0
Q71,MEX,60_plus,0.19847,295.6
Q71,TWN,60_plus,0.57764,276.2
Q71,USA,45_59,0.38146,700.3
Q71,DEU,60_plus,0.45709,501.0
Q71,ECU,45_59,0.25103,243.0
Q71,NZL,60_plus,0.52653,490.0
Q71,AND,18_29,0.44586,157.0
Q71,CYP,60_plus,0.37877,273.2
Q71,IRN,60_plus,0.61635,159.0
Q71,JOR,60_plus,0.44318,176.0
Q71,KOR,60_plus,0.50360,278.0
Q71,LBY,45_59,0.30769,377.0
Q71,MNG,18_29,0.41427,468.7
Q71,TJK,60_plus,0.94304,158.0
Q71,CZE,60_plus,0.27615,356.9
Q71,ETH,18_29,0.66023,621.0
Q71,GBR,45_59,0.24173,611.0
Q71,IND,60_plus,0.58241,204.0
Q71,PER,18_29,0.10429,404.2
Q71,PRI,45_59,0.14015,264.0
Q71,RUS,60_plus,0.64353,414.7
Q71,SRB,30_44,0.23485,264.0
Q71,SVK,60_plus,0.22106,343.2
Q71,THA,60_plus,0.56388,250.7
Q71,BOL,18_29,0.19470,755.0
Q71,COL,30_44,0.10791,417.0
Q71,CYP,45_59,0.35174,225.4
Q71,IRN,45_59,0.57100,331.0
Q71,JOR,45_59,0.43046,302.0
Q71,KAZ,18_29,0.72459,305.0
Q71,KEN,30_44,0.46667,405.0
Q71,KOR,45_59,0.55037,407.0
Q71,MDV,45_59,0.37634,186.0
Q71,TJK,45_59,0.90323,341.0
Q71,CZE,45_59,0.31562,266.7
Q71,GBR,60_plus,0.30126,773.8
Q71,IND,45_59,0.65858,321.3
Q71,PRI,60_plus,0.20352,398.0
Q71,RUS,45_59,0.56310,428.2
Q71,SVK,45_59,0.20179,306.1
Q71,THA,45_59,0.57530,410.7
Q71,ARG,60_plus,0.34818,224.2
Q71,CHL,60_plus,0.45014,231.0
Q71,CHN,18_29,0.91393,677.7
Q71,MAC,45_59,0.74611,193.0
Q71,TUN,60_plus,0.17788,208.0
Q71,UKR,18_29,0.22924,169.9
Q71,ZWE,30_44,0.47105,380.0
Q71,IDN,60_plus,0.88743,371.7
Q71,NLD,18_29,0.33129,163.0
Q71,PAK,30_44,0.59542,917.0
Q71,PHL,45_59,0.79545,325.1
Q71,ROU,18_29,0.18460,255.9
Q71,SGP,18_29,0.75158,319.9
Q71,ARG,45_59,0.30285,224.5
Q71,ARM,18_29,0.20563,251.4
Q71,AUS,30_44,0.30279,482.7
Q71,BGD,30_44,0.84773,440.0
Q71,BRA,30_44,0.24667,493.7
Q71,CAN,30_44,0.43671,991.8
Q71,CHL,45_59,0.38536,228.9
Q71,KGZ,30_44,0.49497,409.2
Q71,LBN,30_44,0.18011,372.0
Q71,MYS,30_44,0.52654,471.0
Q71,TUN,45_59,0.07541,305.0
Q71,UZB,18_29,0.87552,482.0
Q71,VEN,30_44,0.14477,373.0
Q71,GRC,18_29,0.12834,207.7
Q71,GTM,18_29,0.09468,602.0
Q71,IDN,45_59,0.80624,745.3
Q71,NIC,18_29,0.26067,445.0
Q71,PHL,60_plus,0.84405,229.1
Q71,AUS,60_plus,0.28345,479.4
Q71,BRA,60_plus,0.23019,332.0
Q71,CAN,60_plus,0.52832,1217.5
Q71,KGZ,60_plus,0.57291,155.5
Q71,LBN,60_plus,0.20359,167.0
Q71,MAC,30_44,0.74346,191.0
Q71,MAR,18_29,0.19165,407.0
Q71,TUR,18_29,0.69187,701.0
Q71,URY,18_29,0.44731,225.6
Q71,VNM,18_29,0.94444,360.0
Q71,ZWE,45_59,0.54185,227.0
Q71,PAK,45_59,0.63158,323.0
Q71,PHL,30_44,0.82240,382.3
Q71,CHN,30_44,0.95246,941.7
Q71,MAR,45_59,0.20982,224.0
Q71,TUR,45_59,0.72451,824.0
Q71,UKR,30_44,0.18347,388.6
Q71,URY,45_59,0.59084,216.5
Q71,VNM,45_59,0.96540,289.0
Q71,ZWE,18_29,0.48706,425.0
Q71,HKG,60_plus,0.70083,585.7
Q71,NLD,30_44,0.32009,428.0
Q71,PAK,18_29,0.69481,616.0
Q71,ROU,30_44,0.15023,295.2
Q71,SGP,30_44,0.78841,589.0
Q71,ARM,30_44,0.33569,362.1
Q71,AUS,18_29,0.26753,386.7
Q71,BGD,18_29,0.80597,402.0
Q71,BRA,18_29,0.23521,411.2
Q71,CAN,18_29,0.46118,753.6
Q71,JPN,30_44,0.35849,265.0
Q71,KGZ,18_29,0.54945,338.8
Q71,LBN,18_29,0.22905,358.0
Q71,MYS,18_29,0.54654,419.0
Q71,URY,60_plus,0.65041,278.5
Q71,UZB,30_44,0.81960,449.0
Q71,VEN,18_29,0.13084,428.0
Q71,GRC,30_44,0.13214,323.9
Q71,GTM,30_44,0.10169,354.0
Q71,HKG,45_59,0.55309,606.0
Q71,NIC,30_44,0.24810,395.0
Q71,AND,45_59,0.50943,318.0
Q71,BOL,60_plus,0.31298,262.0
Q71,IRQ,30_44,0.17989,378.0
Q71,LBY,18_29,0.30686,277.0
Q71,MEX,30_44,0.19016,532.9
Q71,MMR,30_44,0.78005,391.0
Q71,MNG,45_59,0.41635,369.9
Q71,TWN,30_44,0.51053,351.7
Q71,DEU,30_44,0.50000,298.0
Q71,ETH,45_59,0.64935,154.0
Q71,GBR,18_29,0.16359,419.8
Q71,NZL,30_44,0.56410,156.0
Q71,PER,45_59,0.12386,353.3
Q71,PRI,18_29,0.11330,203.0
Q71,AND,60_plus,0.54091,220.0
Q71,BOL,45_59,0.30025,403.0
Q71,CYP,18_29,0.35137,221.5
Q71,IRN,18_29,0.45433,416.0
Q71,JOR,18_29,0.40789,228.0
Q71,KAZ,45_59,0.66667,357.0
Q71,KOR,18_29,0.47177,248.0
Q71,MDV,18_29,0.20286,350.0
Q71,TJK,18_29,0.91018,334.0
Q71,USA,30_44,0.27193,618.6
Q71,CZE,18_29,0.38379,212.0
Q71,ECU,30_44,0.34465,383.0
Q71,IND,18_29,0.66950,541.0
Q71,PER,60_plus,0.13818,192.0
Q71,RUS,18_29,0.52694,414.5
Q71,SVK,18_29,0.16824,195.6
Q71,THA,18_29,0.49171,315.8
Q71,ARG,18_29,0.29130,264.3
Q71,ARM,45_59,0.39055,286.0
Q71,CHL,18_29,0.21385,197.1
Q71,CHN,60_plus,0.98084,466.2
Q71,JPN,45_59,0.42671,307.0
Q71,NGA,30_44,0.37697,447.0
Q71,TUN,18_29,0.10676,281.0
Q71,UKR,60_plus,0.21927,334.6
Q71,UZB,45_59,0.80275,218.0
Q71,GRC,45_59,0.11029,286.6
Q71,GTM,45_59,0.07463,201.0
